,Mean Fitness,Best Fitness,Best Mate_prob,Best Mutate_prob,Best Threshold
0,-310126467.30850756,-122426243.50266719,0.77734375,0.78125,0.47265625
1,-262627631.03139487,-133907857.78708959,0.328125,0.5703125,0.046875
2,-232633304.70067775,-116455290.46586418,0.6171875,0.2890625,0.09765625
3,-214372221.3737136,-116455290.46586418,0.6171875,0.2890625,0.09765625
4,-188302606.15348303,-116455290.46586418,0.6171875,0.2890625,0.09765625
5,-178743169.95693883,-100727335.69061303,0.6171875,0.29296875,0.09375
6,-162720551.7811663,-94116211.11866021,0.6171875,0.28515625,0.09375
7,-154443758.32090533,-94116211.11866021,0.6171875,0.28515625,0.09375
8,-142436693.42350638,-94116211.11866021,0.6171875,0.28515625,0.09375
9,-128651541.58332048,-94116211.11866021,0.6171875,0.28515625,0.09375
10,-129941212.12880264,-94116211.11866021,0.6171875,0.28515625,0.09375
11,-118475550.7492659,-50113423.75766182,0.5546875,0.2890625,0.25390625
12,-108673057.9704237,-50113423.75766182,0.5546875,0.2890625,0.25390625
13,-99825721.73973309,-44021666.0283854,0.6171875,0.28515625,0.25
14,-90174644.89209865,-44021666.0283854,0.6171875,0.28515625,0.25
15,-80947437.56857777,-44021666.0283854,0.6171875,0.28515625,0.25
16,-70900506.07030213,-41886950.56317711,0.55859375,0.28125,0.25
17,-64163622.82722592,-39437907.61697197,0.5546875,0.2890625,0.25390625
18,-57527769.61590147,-39437907.61697197,0.5546875,0.2890625,0.25390625
19,-51696896.60816586,-39437907.61697197,0.5546875,0.2890625,0.25390625
20,-46416068.40826154,-39437907.61697197,0.5546875,0.2890625,0.25390625
21,-42928204.66934574,-38832723.1485703,0.546875,0.2890625,0.25
22,-41615019.93293738,-38762765.96627736,0.546875,0.2890625,0.25
23,-41204662.064105034,-38581765.39107823,0.609375,0.2890625,0.25
24,-40462122.13520253,-38369415.24503255,0.546875,0.2890625,0.25
25,-39859915.72937715,-38369415.24503255,0.546875,0.2890625,0.25
26,-39360172.616030455,-38347103.77088094,0.609375,0.2890625,0.25
27,-38869888.664161205,-38153679.09177327,0.609375,0.2890625,0.25
28,-38731858.49738884,-38153679.09177327,0.609375,0.2890625,0.25
29,-38650752.44347787,-38153679.09177327,0.609375,0.2890625,0.25
30,-38445396.93274617,-37702170.9544518,0.546875,0.2890625,0.25
31,-38274083.70811772,-37702170.9544518,0.546875,0.2890625,0.25
32,-38171155.08854604,-37633716.19166875,0.546875,0.2890625,0.25
33,-38072470.55337262,-37606623.90079045,0.609375,0.2890625,0.25
34,-37919863.783665895,-37581238.824534655,0.609375,0.2890625,0.25
35,-37779701.712382555,-37551443.902659655,0.546875,0.2890625,0.0
36,-37677206.15556073,-37474596.531443834,0.546875,0.2890625,0.0
37,-37618157.486848116,-37474596.531443834,0.546875,0.2890625,0.0
38,-37587766.26170087,-37438599.858756304,0.546875,0.2890625,0.25
39,-37555722.98897672,-37352633.5839417,0.546875,0.2890625,0.25
40,-37517579.83164525,-37352633.5839417,0.546875,0.2890625,0.25
41,-37503890.82274747,-37352633.5839417,0.546875,0.2890625,0.25
42,-37469702.82203603,-37352633.5839417,0.546875,0.2890625,0.25
43,-37436103.31150746,-37325298.08379674,0.546875,0.2890625,0.25
44,-37408907.89720845,-37325298.08379674,0.546875,0.2890625,0.25
45,-37380343.77233434,-37325298.08379674,0.546875,0.2890625,0.25
46,-37357856.67663312,-37325298.08379674,0.546875,0.2890625,0.25
47,-37340733.926974535,-37325298.08379674,0.546875,0.2890625,0.25
48,-37332775.38300252,-37325298.08379674,0.546875,0.2890625,0.25
49,-37325437.0142529,-37325298.08379674,0.546875,0.2890625,0.25
50,-37325403.93557286,-37325298.08379674,0.546875,0.2890625,0.25
51,-37325370.856892824,-37325298.08379674,0.546875,0.2890625,0.25
52,-37325311.315268755,-37325298.08379674,0.546875,0.2890625,0.25
53,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
54,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
55,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
56,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
57,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
58,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
59,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
60,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
61,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
62,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
63,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
64,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
65,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
66,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
67,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
68,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
69,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
70,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
71,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
72,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
73,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
74,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
75,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
76,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
77,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
78,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
79,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
80,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
81,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
82,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
83,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
84,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
85,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
86,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
87,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
88,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
89,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
90,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
91,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
92,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
93,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
94,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
95,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
96,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
97,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
98,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
99,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
100,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
101,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
102,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
103,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
104,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
105,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
106,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
107,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
108,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
109,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
110,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
111,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
112,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
113,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
114,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
115,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
116,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
117,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
118,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
119,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
120,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
121,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
122,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
123,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
124,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
125,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
126,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
127,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
128,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
129,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
130,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
131,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
132,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
133,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
134,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
135,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
136,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
137,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
138,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
139,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
140,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
141,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
142,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
143,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
144,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
145,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
146,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
147,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
148,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
149,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
150,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
151,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
152,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
153,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
154,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
155,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
156,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
157,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
158,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
159,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
160,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
161,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
162,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
163,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
164,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
165,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
166,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
167,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
168,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
169,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
170,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
171,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
172,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
173,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
174,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
175,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
176,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
177,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
178,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
179,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
180,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
181,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
182,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
183,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
184,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
185,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
186,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
187,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
188,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
189,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
190,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
191,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
192,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
193,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
194,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
195,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
196,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
197,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
198,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
199,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
200,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
201,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
202,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
203,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
204,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
205,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
206,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
207,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
208,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
209,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
210,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
211,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
212,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
213,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
214,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
215,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
216,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
217,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
218,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
219,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
220,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
221,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
222,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
223,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
224,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
225,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
226,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
227,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
228,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
229,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
230,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
231,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
232,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
233,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
234,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
235,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
236,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
237,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
238,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
239,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
240,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
241,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
242,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
243,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
244,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
245,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
246,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
247,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
248,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
249,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
250,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
251,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
252,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
253,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
254,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
255,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
256,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
257,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
258,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
259,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
260,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
261,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
262,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
263,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
264,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
265,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
266,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
267,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
268,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
269,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
270,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
271,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
272,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
273,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
274,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
275,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
276,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
277,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
278,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
279,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
280,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
281,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
282,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
283,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
284,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
285,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
286,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
287,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
288,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
289,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
290,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
291,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
292,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
293,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
294,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
295,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
296,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
297,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
298,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
299,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
300,-37325298.08379674,-37325298.08379674,0.546875,0.2890625,0.25
