"Model","WT3000  (760303-03-SV)"
"Comment","BCD"
"Version","5.01"
"Date","2020/12/04"
"Time","00:41:12"

"<Settings>"
"Wiring","3P4W-NONE"
"Element","Element1","Element2","Element3"
"Module","1kV30A","1kV30A","1kV30A"
"Wiring","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)"
"Voltage Range","60V","60V","60V"
"Voltage Measuring Mode","RMS","RMS","RMS"
"Terminal","Direct","Direct","Direct"
"Current Range","      5A","      5A","      5A"
"Current Measuring Mode","RMS","RMS","RMS"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","220.0000","220.0000","220.0000"
"Ct Ratio","5000.0000","5000.0000","5000.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","I1","I1","I1"
"Wiring Compensation","Off","Off","Off"
"Efficiency Compensation","Off"
"3P3W(3V3A) Compensation","Off"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"F9","Off"
"F10","Off"
"F11","Off"
"F12","Off"
"F13","Off"
"F14","Off"
"F15","Off"
"F16","Off"
"F17","Off"
"F18","Off"
"F19","Off"
"F20","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","1s"
"PC Formula","IEC76(1976)",0.5000,0.5000
"Crest Factor","3"

"Store No.","Date","Time","U-E1","I-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","U-E2","I-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","U-E3","I-E3","P-E3","S-E3","Q-E3","PF-E3","DEG-E3","U-SigA","I-SigA","P-SigA","S-SigA","Q-SigA","PF-SigA","DEG-SigA"
    1,  2020/12/03,21:33:08,12.6687E+03,17.6027E+03,219.761E+06,223.004E+06,37.8892E+06,0.98546E+00,9.782E+00,12.6401E+03,17.7493E+03,220.951E+06,224.353E+06,38.9220E+06,0.98484E+00,9.991E+00,12.6172E+03,17.6517E+03,219.220E+06,222.714E+06,39.2962E+06,0.98431E+00,10.163E+00,12.6420E+03,17.6679E+03,659.933E+06,670.071E+06,116.107E+06,0.98487E+00,9.980E+00
    2,  2020/12/03,21:33:28,12.6788E+03,17.6234E+03,220.079E+06,223.444E+06,38.6328E+06,0.98494E+00,9.956E+00,12.6509E+03,17.7179E+03,220.596E+06,224.148E+06,39.7453E+06,0.98415E+00,10.214E+00,12.6338E+03,17.6402E+03,219.326E+06,222.864E+06,39.5520E+06,0.98413E+00,10.223E+00,12.6545E+03,17.6605E+03,660.001E+06,670.456E+06,117.930E+06,0.98441E+00,10.132E+00
    3,  2020/12/03,21:33:48,12.6948E+03,17.5857E+03,219.781E+06,223.248E+06,39.1908E+06,0.98447E+00,10.111E+00,12.6708E+03,17.6614E+03,220.178E+06,223.784E+06,40.0131E+06,0.98389E+00,10.300E+00,12.6529E+03,17.6146E+03,219.300E+06,222.876E+06,39.7636E+06,0.98396E+00,10.277E+00,12.6728E+03,17.6206E+03,659.259E+06,669.908E+06,118.968E+06,0.98410E+00,10.230E+00